HRR_ID,Name,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
259,"Jackson, MS",3857.62,4051.07,4355.62,4464.94,4673.7,5070.43,5109.27,5206.53,5156.43,5060,4773.22,4757.64,5026.5
260,"Meridian, MS",3966.75,4103.8,4572.1,4730.76,4723.21,5581.15,5138.74,5128.37,5162.04,5206.25,5182.06,5236.34,5313.94
261,"Oxford, MS",3369.37,3859.52,4065.46,4247.36,4569.79,4908.43,4696.1,4721.67,4543.29,4701.29,4538.79,4437.05,4677.77
262,"Tupelo, MS",3199.01,3576.76,3754.14,3725.66,4109.28,4466.53,4660.31,4522.3,4517.09,4467.17,4443.28,4355.32,4410.68
263,"Cape Girardeau, MO",3628.32,3900.86,4039.42,4369.62,4488.67,4712.31,4617.31,4561.06,4613.92,4487.36,4406.75,4471.63,4586.81
264,"Columbia, MO",3600.14,3744.66,3948.51,4227.81,4409.46,4647.58,4576.5,4583.52,4685.69,4376.87,4201.16,4139.75,4089.84
267,"Joplin, MO",3931.37,4142.73,4373.39,4367.66,4806.97,4984.52,5093.88,5163.95,5047.54,4829.07,4782.69,4626.1,4624.66
268,"Kansas City, MO",3429.81,3739.16,4006.41,4114.25,4352.36,4375.44,4732.7,4779.13,4695.95,4512.9,4405.29,4482.67,4475.36
270,"Springfield, MO",3299.05,3477.44,3609.38,3793.63,3816.62,4050.86,4007.93,4099.72,4153.98,4185.81,4057.96,3996.05,4015.38
273,"St. Louis, MO",3924.16,4097.32,4420.22,4534.56,4657.14,4943.89,5147.01,5137.52,5073.04,4843.07,4643.34,4709.32,4733.68
274,"Billings, MT",2815.75,3003.29,3199.56,3093.72,3333.86,3425.08,3545.06,3632.54,3448.85,3291.9,3365.37,3200.76,3317.51
275,"Great Falls, MT",3189.09,3606.85,4000.53,4154.32,3873.87,4013,3958.8,4050.21,3812.54,3700.38,3551.29,3574.5,3621.17
276,"Missoula, MT",2791.61,2996.58,3135.13,3225.88,3225.51,3595.52,3398.01,3418.7,3275.85,3282.54,3190.62,3140.8,3153.78
277,"Lincoln, NE",3290.32,3584.55,3687.29,3776.34,3932.21,4102.86,4329.67,4372.27,4357.05,4069.67,3965.55,3989.05,4095.5
278,"Omaha, NE",3202.39,3400.35,3805.66,3997.96,4184.18,4335.2,4312.77,4475.26,4455.55,4259.52,4080.04,4077.1,4262.07
279,"Las Vegas, NV",3920.46,4066.16,4362.41,4661.57,4798.39,5231.19,5503.21,5312.98,5277.23,5060.74,4734.34,4659.25,4744.85
280,"Reno, NV",2794.3,3159.62,3308.33,3520.84,3240.41,3526.13,3662.26,3915.62,3846.22,3573.29,3736.68,3474.98,3569.69
281,"Lebanon, NH",2729.19,2830.24,3028.58,3042.07,3269.49,3435.95,3475.43,3479.12,3490.64,3347.19,3327.4,3273.99,3511.41
282,"Manchester, NH",2996.09,3281.55,3408.06,3669.64,3762.87,4134.89,3924.34,4071.49,4328.01,4023.03,3879.74,3913,3859.54
283,"Camden, NJ",4155.01,3933.95,4200.16,4299.16,4474.83,4873.98,4995.68,4999.97,4985.17,4767.76,4653.61,4649.17,4596.02
284,"Hackensack, NJ",4113.51,3922.67,4259.53,4212.33,4518.16,4692.82,4862.66,5017.13,5103.94,4929.7,4787.01,4984.91,4704.58
285,"Morristown, NJ",3352.72,3551.7,3724.32,3785.9,4077.42,4396.4,4390.02,4385.19,4512.14,4317.17,4133.03,4160.75,4180.41
288,"New Brunswick, NJ",3961.77,4034.48,4375.83,4431.14,4606.87,4669.6,4752.44,4749.75,4737.12,4384.27,4346.18,4327.71,4358.64
289,"Newark, NJ",4192.94,3830.29,4171.67,4396.41,4690.62,4822.12,5015.84,5107.55,5285.44,4948.82,4736.84,4701.41,4807.1
291,"Paterson, NJ",3788.61,3676.64,4070.52,4204.91,4622.6,4808.27,4635.27,4850.74,5019.46,5048.68,4833.05,5204.88,5218.11
292,"Ridgewood, NJ",3843.94,4133.25,3995.27,4239.19,4510.44,4727.19,5191.64,4833.32,4812.69,4641.91,4493.66,4900.64,4407.5
293,"Albuquerque, NM",2389.09,2566.9,2741.6,2899.19,2946.95,3171.07,3198.44,3208.42,3304.33,3144.28,3066.77,3023.44,3085.57
295,"Albany, NY",3207.01,3370.76,3454.44,3566.3,3846.65,4026.17,4167.84,4122.66,4202.5,4055.33,3883.78,3876.78,3997.15
296,"Binghamton, NY",2889.32,2925.92,3087.44,3151.03,3306.76,3615.47,3556.73,3685.68,3876.7,3824.33,3682.68,3715.88,3756.85
297,"Bronx, NY",3964.61,4007.82,4296.6,4755.18,4906.2,5154.4,5527.56,5422.93,5523.14,5221.5,5129.34,5578.07,5024.81
299,"Buffalo, NY",3242.25,3416.16,3479.59,3737.2,3942.03,4076.48,4316.6,4145.01,4245.23,3971.9,3908.47,3826.46,3815.77
300,"Elmira, NY",3479.81,3604.23,3735.44,4027.68,4158.12,4462.28,4445.28,4723.89,4643.79,4458.57,4476.44,4318.06,4478.2
301,"East Long Island, NY",3752.02,3912.32,4164.23,4290.77,4417.11,4759.16,4918.28,4841.95,4928.41,4727.8,4570.24,4553.6,4473.27
303,"Manhattan, NY",3917.74,4164,4334.39,4460.29,4645.62,4821.98,5025.76,4999.23,5008.27,4773.96,4611.32,4964.39,4407.23
304,"Rochester, NY",3050.78,3235.08,3414.84,3506.23,3457.43,3775.3,3928.87,3880.21,3927.02,3722.32,3554.31,3599.35,3711.34
307,"Syracuse, NY",2909.87,3332.17,3358.16,3502.41,3553.56,3643.54,3918.64,3997.2,4045.7,3906.54,3800.89,3795.56,4010.17
308,"White Plains, NY",3318.87,3694.92,3941.17,4073.41,4158.46,4448.98,4716.38,4544.83,4785.93,4614.91,4485.06,4882.43,4601.92
309,"Asheville, NC",3006.26,3000.7,3178.4,3265.71,3416.32,3392.94,3795.24,3747.73,3838.15,3655.24,3559.37,3653.47,3617.95
311,"Charlotte, NC",3317.18,3595.43,3721.77,3854.14,3843,3823.48,4049.97,4210.6,4198.68,4054.38,3846.28,3891.11,3910.41
312,"Durham, NC",3038.84,3291.37,3442.73,3465.75,3668.96,3891.07,3985,4054.81,4168.89,4011.59,3789.06,3832.17,3939.23
313,"Greensboro, NC",2951.21,3483.17,3468.4,3474.99,3476.63,3588.8,3834.86,3938.25,4086.4,3988.32,3843.81,3937.81,3831.87
314,"Greenville, NC",3352.77,3507.08,3593.9,3603.96,3752.26,3943.15,4139.93,4126.1,4128.22,4077.05,3932.88,3847.3,3803.84
315,"Hickory, NC",3248.84,3376.26,3703.41,3767.06,3934.91,3724.22,3862.16,3825.67,3904.68,3837.74,3651.75,3632.26,3751.71
318,"Raleigh, NC",3546.04,3773.86,4001.75,4195.77,4179.46,4207.7,4263.18,4257.65,4365.23,4167.74,3991.08,3976.98,3997.17
319,"Wilmington, NC",3413.92,3369.04,3474.07,3422.64,3609.98,3608.63,3861.57,3948.25,4037.26,3978.35,3877.83,3767.09,3751.64
320,"Winston-Salem, NC",3421.8,3760.36,3859.25,3926.41,4058.19,4187.29,4343.66,4464.81,4602.93,4479.08,4229.23,4301.03,4274.84
321,"Bismarck, ND",3099.32,3442.58,3475.12,3629.5,3259.2,3748.05,3726.21,3890.48,3999.97,3919.98,3662.12,3673.17,3625.45
